,,,,,,,,,,,,,,,,,,,,,,,,,
,PLAYER NAME,,,CLAN NAME,,,TOTAL APPEARANCE,,,PERFORMANCE ( KILLS ),,,,,,,,,,,,,,,
RANK,PROFESSIONAL,IN - GAME,,TEAM NAME,CLAN ,,MATCHES,EVENTS,,PER MATCH,PER EVENTS,TOTAL KILLS,,,,,,,,,,,,,
69,VIRUS,VIRUS,,4KT SHADOW HUNTERS,,,15,5,,2.2,6.6,33,,,,,,,,,,,,,
70,STEIN,STEIN,,AGILE RESURGENCE,AGILE ESPORT,,12,4,,2.666666667,8,32,,,,,,,,,,,,,
71,SIMP,SIMP,,RAZE MATRIX,,,7,3,,4.571428571,10.66666667,32,,,,,,,,,,,,,
72,ZUKI,ZUKI,,DFL,DON'T FORGET LOYALTY,,10,4,,3.1,7.75,31,,,,,,,,,,,,,
73,CARTII,CARTII,,WICKED ENTITIES,,,13,5,,2.384615385,6.2,31,,,,,,,,,,,,,
74,MELLY,XI,,PRIMAL PACKS,,,15,5,,2.066666667,6.2,31,,,,,,,,,,,,,
75,CRY,CRY,,OLD TAKERS,LEGIONS,,6,3,,5,10,30,,,,,,,,,,,,,
76,TRYING,TRYIN,,OLD TAKERS,LEGIONS,,6,2,,5,15,30,,,,,,,,,,,,,
77,LOU LOU,LOU,,PRIMAL PACKS,,,14,5,,2.142857143,6,30,,,,,,,,,,,,,
78,919,919,,PARIS CHITAURI,,,7,4,,4.142857143,7.25,29,,,,,,,,,,,,,
79,KILLER,KILLER,,DFL,DON'T FORGET LOYALTY,,10,5,,2.8,5.6,28,,,,,,,,,,,,,
80,JON,JON YT,,RAZE ROYALS,,,10,4,,2.8,7,28,,,,,,,,,,,,,
81,SHELBY,SHELBY,,KYZON ESPORT,,,10,4,,2.8,7,28,,,,,,,,,,,,,
82,GREEN,STRANGER,,KYZON ALLIANCE,,,12,5,,2.333333333,5.6,28,,,,,,,,,,,,,
83,SXINNER,ANGRY SXINR,,ANGRYMEN CARTEL,,,9,3,,3.111111111,9.333333333,28,,,,,,,,,,,,,
84,,TRINITY,,AGILE ESPORTS,,,9,3,,3,9,27,,,,,,,,,,,,,
85,YONKO,YONKO,,DAREDEVILS,,,9,3,,2.777777778,8.333333333,25,,,,,,,,,,,,,
86,NOSTALGIC,ANGRY SXVGE,,ANGRYMEN CARTEL,,,8,4,,3.125,6.25,25,,,,,,,,,,,,,
87,LEVI,LEVI,,DFL,DON'T FORGET LOYALTY,,4,2,,6,12,24,,,,,,,,,,,,,
88,DXNRUSKI,KRYSIS,,44 REGENTS,44 DIVISON,,6,2,,4,12,24,,,,,,,,,,,,,
89,TUNCCI,ZYHADE,,AGILE RESURGENCE,AGILE ESPORT,,15,5,,1.533333333,4.6,23,,,,,,,,,,,,,
90,SANZIRO,SANSIRO,,WICKED ENTITIES,,,7,3,,3,7,21,,,,,,,,,,,,,
91,EDDIE,EDDIE,,DAREDEVILS,,,8,4,,2.5,5,20,,,,,,,,,,,,,
92,LAY,LAYY,,WICKED ENTITIES,,,6,3,,3.333333333,6.666666667,20,,,,,,,,,,,,,
93,MAUS,MAUSY,,OLD TAKERS,LEGIONS,,8,3,,2.5,6.666666667,20,,,,,,,,,,,,,
94,UNSEEN,GRANDMA,,NEMESIS ESPORTS,,,9,3,,2.111111111,6.333333333,19,,,,,,,,,,,,,
95,CHAPO,BLACKMAN,,HEXLINE ELITES,,,4,2,,4.5,9,18,,,,,,,,,,,,,
96,MHIDEY,MHID3Y,,NEMESIS ESPORTS,,,3,1,,6,18,18,,,,,,,,,,,,,
97,DIVINITY,DIVINITY,,DAREDEVILS,,,12,4,,1.5,4.5,18,,,,,,,,,,,,,
98,SMAPOT,BOOM,,DAREDEVILS,,,14,5,,1.214285714,3.4,17,,,,,,,,,,,,,
99,LUCY,4GOTTEN,,ZEN HITMEN,,,5,2,,3.2,8,16,,,,,,,,,,,,,
100,TOONS,TOONS,,HORIZON ONE,,,4,2,,3.75,7.5,15,,,,,,,,,,,,,
101,VANESSA,VXNDIGO,,44 REGENTS,44 DIVISON,,7,4,,2.142857143,3.75,15,,,,,,,,,,,,,
102,SWAGCODM,ANGRY SWAG,,ANGRYMEN CARTEL,,,6,2,,2.5,7.5,15,,,,,,,,,,,,,
103,SUNGOD,SINOFPRIDE,,RAZE MATRIX,,,6,2,,2.333333333,7,14,,,,,,,,,,,,,
104,SNAKE,SNAKE,,RAZE MATRIX,,,3,1,,4.666666667,14,14,,,,,,,,,,,,,
105,KYLE,CARTI,,ZEN HITMEN,,,8,4,,1.75,3.5,14,,,,,,,,,,,,,
106,PSYCHOMXN,PSYCHOMXN,,DAREDEVILS,,,11,4,,1.181818182,3.25,13,,,,,,,,,,,,,
107,LAMBA,MGONE,,HORIZON ONE,,,3,2,,4.333333333,6.5,13,,,,,,,,,,,,,
108,IBRAHIM,BISMILLAH,,DAREDEVILS,,,6,2,,2,6,12,,,,,,,,,,,,,
109,AGONYYY,ANGRONY,,RAZE MATRIX,,,6,2,,2,6,12,,,,,,,,,,,,,
110,RUVO,359,,HEXLINE ELITES,,,3,1,,3.666666667,11,11,,,,,,,,,,,,,
111,HYDRA,ANGRY IBADEJO,,ANGRYMEN CARTEL,,,3,1,,3.666666667,11,11,,,,,,,,,,,,,
112,PAGANINI,GRACE,,LEGIONARIS,LEGIONS,,2,1,,5,10,10,,,,,,,,,,,,,
113,PAPA SOPHIA,PAPASOPHIA,,SHIBO ESPORTS,,,2,1,,4.5,9,9,,,,,,,,,,,,,
114,SILVA,SILVA,,4KT SHADOW HUNTERS,,,2,1,,4,8,8,,,,,,,,,,,,,
115,KWEKU,KWEKU,,PRIMAL PACKS,,,3,1,,2.666666667,8,8,,,,,,,,,,,,,
